Date,Open,High,Low,Close,Adj Close,Volume
2015-11-12,49.750000,50.250000,49.500000,50.000000,44.007816,16317400
2015-11-13,50.000000,50.250000,49.500000,49.500000,43.567738,8686000
2015-11-16,49.500000,50.000000,49.500000,50.000000,44.007816,12744700
2015-11-17,50.000000,50.000000,49.500000,49.750000,43.787773,16220200
2015-11-18,49.750000,50.000000,49.250000,49.250000,43.347698,14802500
2015-11-19,49.250000,49.750000,49.250000,49.500000,43.567738,10099700
2015-11-20,49.750000,50.000000,49.500000,49.750000,43.787773,7278900
2015-11-23,49.750000,49.750000,49.250000,49.250000,43.347698,6378800
2015-11-24,49.250000,49.500000,49.000000,49.000000,43.127655,11485600
2015-11-25,49.000000,49.250000,48.000000,48.500000,42.687584,20894300
2015-11-26,48.500000,48.750000,47.000000,48.000000,42.247501,21841800
2015-11-27,48.000000,48.000000,47.250000,47.500000,41.807423,13565500
2015-11-30,47.250000,47.500000,46.500000,47.000000,41.367355,39739000
2015-12-01,47.000000,47.000000,46.250000,47.000000,41.367355,18052300
2015-12-02,46.750000,47.500000,46.250000,46.750000,41.147312,25284400
2015-12-03,43.000000,44.750000,42.500000,44.250000,38.946922,160712500
2015-12-04,43.750000,44.000000,42.750000,43.000000,37.846725,84498400
2015-12-08,43.250000,43.750000,41.000000,41.000000,36.086407,60213500
2015-12-09,41.250000,42.250000,40.000000,41.000000,36.086407,68147300
2015-12-11,41.250000,42.250000,41.000000,41.750000,36.746525,49771700
2015-12-14,41.250000,41.750000,40.250000,41.750000,36.746525,78434300
2015-12-15,42.000000,42.250000,41.500000,41.500000,36.526485,43886300
2015-12-16,41.750000,42.000000,41.500000,41.750000,36.746525,28020100
2015-12-17,41.750000,43.000000,41.250000,43.000000,37.846725,41371800
2015-12-18,42.500000,42.750000,42.000000,42.000000,36.966568,23471300
2015-12-21,42.000000,42.000000,40.000000,40.250000,35.426289,50082700
2015-12-22,40.250000,41.500000,40.000000,41.250000,36.306446,34543600
2015-12-23,41.250000,41.500000,40.750000,41.250000,36.306446,16318300
2015-12-24,41.500000,41.500000,40.750000,41.000000,36.086407,11170400
2015-12-25,41.000000,41.000000,40.000000,40.500000,35.646328,13627100
2015-12-28,40.500000,41.000000,40.000000,40.000000,35.206249,17870400
2015-12-29,40.000000,40.500000,39.500000,39.500000,34.766171,25225800
2015-12-30,39.500000,40.000000,39.000000,39.250000,34.546135,16589900
2016-01-04,39.250000,40.000000,39.000000,39.000000,34.326096,15918200
